,showcase_1,showcase_2,bid_1,bid_2,diff_1,diff_2,estimated_bid1,estimated_diff1,estimated_bid2,estimated_diff2
64,30573.0,25211.0,21344.903869802823,27500.0,-9228.096130197177,2289.0,19150.0,-11423.0,23050.0,-2161.0
65,33009.0,29737.0,35872.454593081195,23456.0,2863.4545930811946,-6281.0,27050.0,-5959.0,21400.0,-8337.0
66,19612.0,23084.0,19992.996780849397,21000.0,380.9967808493966,-2084.0,18750.0,-862.0,20700.0,-2384.0
67,28550.0,24891.0,28441.720084052107,30500.0,-108.27991594789273,5609.0,22200.0,-6350.0,24300.0,-591.0
68,49937.0,71628.0,48836.73437665819,28000.0,-1100.2656233418093,-43628.0,38400.0,-11537.0,23100.0,-48528.0
69,36915.0,29460.0,34843.98045231153,25200.0,-2071.019547688469,-4260.0,26450.0,-10465.0,22100.0,-7360.0
70,33400.0,24974.0,29471.602268186463,19401.0,-3928.3977318135367,-5573.0,22900.0,-10500.0,20350.0,-4624.0
71,34516.0,32693.0,33467.84980786237,25000.0,-1048.150192137633,-7693.0,25650.0,-8866.0,22050.0,-10643.0
72,31516.0,26937.0,32740.543584118874,28000.0,1224.5435841188737,1063.0,25200.0,-6316.0,23200.0,-3737.0
73,51108.0,30939.0,48901.740387640806,32310.0,-2206.259612359194,1371.0,38750.0,-12358.0,24900.0,-6039.0
74,23981.0,32252.0,29088.84360307761,27500.0,5107.84360307761,-4752.0,22950.0,-1031.0,23100.0,-9152.0
75,26383.0,29551.0,35759.20646159391,30000.0,9376.206461593909,449.0,27750.0,1367.0,24200.0,-5351.0
76,39801.0,22193.0,35305.98321427539,23000.0,-4495.016785724612,807.0,27350.0,-12451.0,21650.0,-543.0
77,39201.0,29344.0,30319.174832181678,28000.0,-8881.825167818322,-1344.0,23700.0,-15501.0,23200.0,-6144.0
78,19563.0,33551.0,17837.878932142383,30000.0,-1725.1210678576172,-3551.0,18050.0,-1513.0,24000.0,-9551.0
79,20418.0,29524.0,22817.51498373638,22750.0,2399.514983736379,-6774.0,19850.0,-568.0,21500.0,-8024.0
80,28465.0,23504.0,19388.746002791486,33000.0,-9076.253997208514,9496.0,18350.0,-10115.0,25400.0,1896.0
81,22356.0,36954.0,8343.210158925142,24500.0,-14012.789841074858,-12454.0,14550.0,-7806.0,22050.0,-14904.0
82,24150.0,18349.0,22265.610940326256,20400.0,-1884.3890596737438,2051.0,19450.0,-4700.0,20750.0,2401.0
83,20425.0,19508.0,14736.016583739069,27000.0,-5688.983416260931,7492.0,16650.0,-3775.0,22900.0,3392.0
84,23926.0,20068.0,29882.875106383362,25000.0,5956.875106383362,4932.0,23150.0,-776.0,22050.0,1982.0
85,20860.0,27319.0,14012.139749645916,25000.0,-6847.860250354084,-2319.0,16250.0,-4610.0,21950.0,-5369.0
86,35526.0,26055.0,31303.44038539321,24859.0,-4222.559614606791,-1196.0,24000.0,-11526.0,21950.0,-4105.0
87,20912.0,25875.0,21047.384342730962,30100.0,135.3843427309621,4225.0,18800.0,-2112.0,23950.0,-1925.0
88,27426.0,29831.0,20558.035440018015,23500.0,-6867.964559981985,-6331.0,18550.0,-8876.0,21450.0,-8381.0
89,26393.0,30918.0,41838.435601461206,24150.0,15445.435601461206,-6768.0,32650.0,6257.0,21750.0,-9168.0
90,25329.0,36442.0,18687.21406888029,33500.0,-6641.78593111971,-2942.0,18000.0,-7329.0,25450.0,-10992.0
91,22434.0,28854.0,17158.573303000398,36500.0,-5275.426696999602,7646.0,17450.0,-4984.0,26900.0,-1954.0
92,31933.0,36664.0,19283.62559024406,32000.0,-12649.37440975594,-4664.0,18200.0,-13733.0,24950.0,-11714.0
93,23986.0,24753.0,23718.403656279384,24000.0,-267.59634372061555,-753.0,19950.0,-4036.0,21800.0,-2953.0
94,24729.0,25264.0,20613.467169151158,27890.0,-4115.532830848842,2626.0,18750.0,-5979.0,23250.0,-2014.0
95,21747.0,30843.0,17295.30272568494,22000.0,-4451.697274315062,-8843.0,17600.0,-4147.0,21100.0,-9743.0
96,27273.0,32968.0,39199.03662707306,27717.0,11926.03662707306,-5251.0,30500.0,3227.0,23250.0,-9718.0
97,21681.0,28487.0,18731.66589649267,31000.0,-2949.3341035073317,2513.0,18100.0,-3581.0,24600.0,-3887.0
98,29324.0,27806.0,38145.81012643679,26400.0,8821.810126436787,-1406.0,29600.0,276.0,22800.0,-5006.0
99,35874.0,22513.0,36746.37200044404,21000.0,872.3720004440402,-1513.0,28400.0,-7474.0,20900.0,-1613.0
100,30397.0,25585.0,24302.602232102334,27100.0,-6094.397767897666,1515.0,20300.0,-10097.0,22950.0,-2635.0
101,27310.0,23677.0,35542.991721081475,24000.0,8232.991721081475,323.0,27550.0,240.0,21800.0,-1877.0
102,28414.0,29286.0,21032.041271923183,27500.0,-7381.958728076817,-1786.0,19100.0,-9314.0,22900.0,-6386.0
103,32535.0,29299.0,27862.826572620193,23695.0,-4672.1734273798065,-5604.0,22150.0,-10385.0,21650.0,-7649.0
104,22886.0,31501.0,26090.562117707635,23200.0,3204.5621177076355,-8301.0,21300.0,-1586.0,21500.0,-10001.0
105,29842.0,21902.0,26991.72615405218,21500.0,-2850.2738459478205,-402.0,21700.0,-8142.0,21000.0,-902.0
106,35954.0,20320.0,41231.38235675384,21000.0,5277.382356753842,680.0,31950.0,-4004.0,20750.0,430.0
107,27883.0,25830.0,33640.17279815569,26535.0,5757.1727981556905,705.0,26100.0,-1783.0,22600.0,-3230.0
108,31268.0,32687.0,39364.587813228,19500.0,8096.587813227998,-13187.0,30650.0,-618.0,20200.0,-12487.0
109,21563.0,30493.0,33894.500868425836,26500.0,12331.500868425836,-3993.0,26400.0,4837.0,22600.0,-7893.0
110,39642.0,20043.0,48374.594531100156,26000.0,8732.594531100156,5957.0,38200.0,-1442.0,22450.0,2407.0
111,21862.0,28598.0,27779.212853435514,31860.0,5917.212853435514,3262.0,22150.0,288.0,24750.0,-3848.0
112,33499.0,34432.0,20864.18047200181,25000.0,-12634.819527998188,-9432.0,19100.0,-14399.0,22000.0,-12432.0
113,24313.0,27386.0,22112.12623669234,25496.0,-2200.87376330766,-1890.0,19550.0,-4763.0,22150.0,-5236.0
114,26809.0,19693.0,25673.43855861727,24500.0,-1135.5614413827316,4807.0,21050.0,-5759.0,21850.0,2157.0
115,29674.0,25812.0,28789.717968974703,31000.0,-884.2820310252973,5188.0,22650.0,-7024.0,24400.0,-1412.0
116,21711.0,24631.0,32647.460361095284,23000.0,10936.460361095284,-1631.0,25350.0,3639.0,21250.0,-3381.0
117,25618.0,30858.0,19451.103418925617,17000.0,-6166.896581074383,-13858.0,18650.0,-6968.0,19250.0,-11608.0
118,35504.0,26993.0,25925.88328157331,34800.0,-9578.116718426689,7807.0,21200.0,-14304.0,25950.0,-1043.0
119,23327.0,27570.0,28908.082884732965,29000.0,5581.082884732965,1430.0,22750.0,-577.0,23500.0,-4070.0
120,34581.0,23566.0,43670.29235203532,21000.0,9089.292352035322,-2566.0,33800.0,-781.0,20600.0,-2966.0
121,25918.0,20908.0,14207.832452568948,24000.0,-11710.167547431052,3092.0,17150.0,-8768.0,21600.0,692.0
122,20418.0,25541.0,27496.651334567345,23000.0,7078.651334567345,-2541.0,22000.0,1582.0,21150.0,-4391.0
123,26511.0,32310.0,27625.972916997554,25000.0,1114.9729169975544,-7310.0,22000.0,-4511.0,21800.0,-10510.0
124,28288.0,37393.0,19953.919262010444,27500.0,-8334.080737989556,-9893.0,18900.0,-9388.0,22800.0,-14593.0
125,30348.0,21827.0,31982.971126197433,22525.0,1634.9711261974335,698.0,24750.0,-5598.0,21000.0,-827.0
126,34428.0,26934.0,31686.607438501524,23500.0,-2741.3925614984764,-3434.0,24600.0,-9828.0,21300.0,-5634.0
127,26732.0,28480.0,29072.72661707347,21000.0,2340.7266170734692,-7480.0,22950.0,-3782.0,20450.0,-8030.0
128,29631.0,39620.0,42379.234554326446,38000.0,12748.234554326446,-1620.0,32850.0,3219.0,27300.0,-12320.0
129,30253.0,39263.0,39794.24060651094,30000.0,9541.240606510939,-9263.0,30850.0,597.0,23800.0,-15463.0
130,30256.0,34607.0,30898.380166289007,32000.0,642.3801662890073,-2607.0,24150.0,-6106.0,24600.0,-10007.0
131,21399.0,26375.0,19558.274224819503,22000.0,-1840.7257751804973,-4375.0,18850.0,-2549.0,20800.0,-5575.0
132,30988.0,43998.0,32197.522903154404,35000.0,1209.522903154404,-8998.0,25150.0,-5838.0,26000.0,-17998.0
133,26536.0,25357.0,16880.79864758235,23000.0,-9655.201352417651,-2357.0,17950.0,-8586.0,21200.0,-4157.0
134,39924.0,33251.0,43632.51731769763,23374.0,3708.5173176976314,-9877.0,33600.0,-6324.0,21350.0,-11901.0
